Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Austin Wells,NYY,C,25,115,354,42,81,18,1,13,55,1,2,47,87,1,7,5,0.229,0.322,0.395,0.717,2,0.229
TJ Friedl,CIN,OF,29,85,297,35,67,5,1,13,55,9,1,26,52,2,4,12,0.226,0.31,0.38,0.69,4,0.226
Joey Bart,PIT,C,27,80,253,38,67,11,0,13,45,0,0,22,73,0,1,6,0.265,0.337,0.462,0.799,5,0.265
Matt Wallner,MIN,OF,26,75,220,26,57,17,1,13,37,3,0,24,95,0,1,16,0.259,0.372,0.523,0.895,3,0.259
Triston Casas,BOS,1B,24,63,212,28,51,8,0,13,32,0,1,30,77,0,0,1,0.241,0.337,0.462,0.799,3,0.241
Hunter Goodman,COL,OF,25,70,211,24,40,9,0,13,36,1,1,8,64,0,2,3,0.19,0.228,0.417,0.645,2,0.19
Anthony Volpe,NYY,SS,23,160,637,90,155,27,7,12,60,28,7,42,156,2,3,4,0.243,0.293,0.364,0.657,2,0.243
Willi Castro,MIN,OF,27,158,558,89,138,31,5,12,60,14,9,51,150,1,4,21,0.247,0.331,0.385,0.716,6,0.247
Leody Taveras,TEX,OF,26,151,480,59,110,17,3,12,44,23,6,42,112,3,4,0,0.229,0.289,0.352,0.641,5,0.229
Charlie Blackmon,COL,OF,38,124,449,59,115,24,5,12,52,6,2,43,86,0,1,6,0.256,0.329,0.412,0.741,14,0.256
Ernie Clement,TOR,SS,28,139,434,48,114,21,3,12,51,12,3,11,41,2,2,3,0.263,0.284,0.408,0.692,4,0.263
Jeff McNeil,NYM,2B,32,129,424,57,101,26,0,12,44,5,1,35,68,1,3,9,0.238,0.308,0.384,0.692,7,0.238
Harrison Bader,NYM,OF,30,143,402,57,95,19,0,12,51,17,8,21,95,0,6,8,0.236,0.284,0.373,0.657,8,0.236
Mitch Haniger,SEA,OF,33,121,380,42,79,12,0,12,44,0,0,40,126,0,1,2,0.208,0.286,0.334,0.62,8,0.208
Korey Lee,CWS,C,26,125,377,36,79,14,1,12,37,6,3,17,122,0,0,0,0.21,0.244,0.347,0.591,3,0.21
Enrique Hernandez,LAD,SS,33,126,362,44,83,16,0,12,42,0,0,27,77,1,3,0,0.229,0.281,0.373,0.654,11,0.229
Lars Nootbaar,STL,OF,27,109,348,39,85,18,3,12,45,7,3,52,79,1,3,1,0.244,0.342,0.417,0.759,4,0.244
Jorge Soler,SF,OF,32,93,341,57,82,23,1,12,40,1,0,44,97,0,3,3,0.24,0.33,0.419,0.749,11,0.241
Spencer Horwitz,TOR,1B,26,97,328,46,87,19,0,12,40,0,0,42,70,0,4,7,0.265,0.357,0.433,0.79,2,0.265
Jake Bauers,MIL,1B,29,117,302,45,60,9,2,12,43,13,1,39,118,0,0,5,0.199,0.301,0.361,0.662,5,0.199
Randal Grichuk,ARI,OF,33,106,254,40,74,20,2,12,46,0,0,20,46,0,2,3,0.291,0.348,0.528,0.876,11,0.291
Bryson Stott,PHI,2B,27,148,506,65,124,19,2,11,57,32,3,53,93,0,9,3,0.245,0.315,0.356,0.671,3,0.245
Joey Ortiz,MIL,2B,26,142,440,58,105,25,6,11,60,11,6,56,103,3,6,6,0.239,0.329,0.398,0.727,2,0.239
Xander Bogaerts,SD,SS,32,111,428,50,113,15,1,11,44,13,3,28,79,0,6,1,0.264,0.307,0.381,0.688,12,0.264
Ha-Seong Kim,SD,SS,29,121,403,60,94,16,3,11,47,22,5,58,77,4,3,2,0.233,0.33,0.37,0.7,4,0.233
Jesse Winker,WSH,OF,31,101,315,51,81,18,0,11,45,14,4,53,84,2,2,7,0.257,0.374,0.419,0.793,8,0.253
Francisco Alvarez,NYM,C,22,100,308,39,73,14,2,11,47,1,1,30,86,0,2,2,0.237,0.307,0.403,0.71,3,0.237
Adam Duvall,ATL,OF,36,104,303,29,55,10,0,11,30,0,0,21,99,0,1,5,0.182,0.245,0.323,0.568,11,0.182
Rob Refsnyder,BOS,OF,33,93,272,32,77,16,1,11,40,2,2,28,78,0,1,5,0.283,0.359,0.471,0.83,9,0.283
Ramon Urias,BAL,3B,30,100,272,39,69,9,2,11,37,1,1,23,55,0,1,5,0.254,0.322,0.423,0.745,5,0.254
Christian Yelich,MIL,OF,32,73,270,44,85,12,3,11,42,21,1,40,58,1,1,2,0.315,0.406,0.504,0.91,12,0.315
Gary Sanchez,MIL,C,31,89,245,30,54,7,1,11,37,0,0,27,76,0,3,5,0.22,0.307,0.392,0.699,10,0.22
Jonah Bride,MIA,3B,28,71,232,30,64,10,0,11,39,0,1,30,55,0,7,3,0.276,0.357,0.461,0.818,3,0.276
Gavin Sheets,CWS,OF,28,139,451,35,105,24,1,10,45,2,2,43,106,0,3,4,0.233,0.303,0.357,0.66,4,0.233
